ÁöÁ¡,ÀÏ½Ã,Æò±Õ Ç³¼Ó(m/s),Æò±Õ ±â¿Â(¡ÆC),Æò±Õ ¼ö¿Â(¡ÆC)
21229,2017-06-25,2,21.7,22.3
21229,2017-06-26,2.2,21.7,22.4
21229,2017-06-27,3.6,21.4,22.2
21229,2017-06-28,4,21.5,22.3
21229,2017-06-29,4.2,22.4,22.4
21229,2017-06-30,4.4,22.6,22.3
21229,2017-07-01,5.2,23.5,22.3
21229,2017-07-02,4.4,23.4,22.6
21229,2017-07-03,8.3,23,22.4
21229,2017-07-04,2.8,22.9,22.7
21229,2017-07-05,,22.8,23.3
21229,2017-07-06,4,23,23.4
21229,2017-07-07,4.8,23.8,23.6
21229,2017-07-08,5.8,24,23.6
21229,2017-07-09,4.3,24.5,24.1
21229,2017-07-10,10.5,24.8,23.6
21229,2017-07-11,8,23.8,23.3
21229,2017-07-12,2.9,24.4,24
21229,2017-07-13,5.6,24,24.1
21229,2017-07-14,5.3,23.9,24.2
21229,2017-07-15,7,24.5,24.1
21229,2017-07-16,5.2,24.5,24.1
21229,2017-07-17,3.5,25,24.7
21229,2017-07-18,2.4,25.6,25.4
21229,2017-07-19,3.8,25.2,25.8
21229,2017-07-20,6.8,25.6,25.6
21229,2017-07-21,5.5,25.7,25.3
21229,2017-07-22,3.4,25.2,25.6
21229,2017-07-23,2.7,25,25.6
21229,2017-07-24,3.1,25.2,25.8
21229,2017-07-25,5.9,25.1,25.9
21229,2017-07-26,5.1,24.9,25.7
21229,2017-07-27,3.2,24.8,26
21229,2017-07-28,3.9,25.2,25.9
21229,2017-07-29,5,25.1,25.8
21229,2017-07-30,3.6,25.2,26.1
21229,2017-07-31,1.7,25.5,26.2
21229,2017-08-01,3.9,25.3,26.2
21229,2017-08-02,2.9,25.6,26.5
21229,2017-08-03,4.8,25.9,26.4
21229,2017-08-04,3.2,26.5,26.9
21229,2017-08-05,2.6,27.3,27.4
21229,2017-08-06,2.4,28.2,28
21229,2017-08-07,2.9,28,28.3
21229,2017-08-08,3.3,27.4,27.9
21229,2017-08-09,5.5,27,27.4
21229,2017-08-10,7.6,26.5,26.9
21229,2017-08-11,7.5,25.5,26.7
21229,2017-08-12,7.1,24.7,26.3
21229,2017-08-13,7.2,24.6,26.5
21229,2017-08-14,5.8,25.1,26.4
21229,2017-08-15,7.7,25.4,26.3
21229,2017-08-16,6.7,25.2,26.1
21229,2017-08-17,5.8,24.6,26
21229,2017-08-18,5.4,24.6,26.1
21229,2017-08-19,4.8,25.1,26.4
21229,2017-08-20,4.6,25.6,26.2
21229,2017-08-21,6.4,26.7,26.2
21229,2017-08-22,6.5,26.8,26.2
21229,2017-08-23,4.2,26.8,26.4
21229,2017-08-24,8.8,27.4,26.3
21229,2017-08-25,5.6,26.3,26.2
21229,2017-08-26,6.3,25.7,25.8
21229,2017-08-27,2.1,24.9,25.9
21229,2017-08-28,4.3,25.3,25.9
21229,2017-08-29,6.8,23.1,25.4
21229,2017-08-30,3.8,23.5,24.9
21229,2017-08-31,4.1,23.5,24.6
21229,2017-09-01,7.8,21.9,24.3
21229,2017-09-02,6.4,22.1,24
21229,2017-09-03,3.5,22.4,23.9
21229,2017-09-04,3.4,23.5,23.8
21229,2017-09-05,4.5,23.9,23.6
21229,2017-09-06,1.9,23.5,24
21229,2017-09-07,2.5,23.3,24.6
21229,2017-09-08,2.9,23.8,24.8
21229,2017-09-09,3.5,24,24
21229,2017-09-10,2.7,24.2,24.3
21229,2017-09-11,7.3,22.5,24
21229,2017-09-12,4.1,22.8,24.3
21229,2017-09-13,5.9,22.7,24.5
21229,2017-09-14,3.2,22.3,24.4
21229,2017-09-15,7.5,21.7,24.1
21229,2017-09-16,8.8,22.5,24.6
21229,2017-09-17,10.4,22,24.2
21229,2017-09-18,7.2,22.4,23.9
21229,2017-09-19,5.7,23.8,23.9
21229,2017-09-20,9,22.2,23.7
21229,2017-09-21,2.3,22.3,23.9
21229,2017-09-22,5.3,22.7,23.7
21229,2017-09-23,3,22.8,23.6
21229,2017-09-24,2.9,22.7,23.1
21229,2017-09-25,2,23.5,23.6
21229,2017-09-26,3.1,22.8,23.5
21229,2017-09-27,5.9,20.7,23.4
21229,2017-09-28,7.5,20.8,23.1
21229,2017-09-29,9,19.9,22.5
