날짜,종가,오픈,고가,저가,변동 %
2018년 03월 19일,169.53,168.94,169.73,168.82,0.32%
2018년 03월 16일,168.99,169.29,169.71,168.56,-0.13%
2018년 03월 15일,169.21,168.44,169.39,168.21,0.42%
2018년 03월 14일,168.5,168.78,169.24,168.13,-0.15%
2018년 03월 13일,168.76,168.25,169.04,168,0.30%
2018년 03월 12일,168.25,168.18,168.93,167.94,0.01%
2018년 03월 09일,168.24,169.38,169.44,168.15,-0.66%
2018년 03월 08일,169.36,168.76,169.67,168.67,0.36%
2018년 03월 07일,168.75,168.69,169.82,168.65,0.08%
2018년 03월 06일,168.62,169.73,170.11,167.41,-0.65%
2018년 03월 05일,169.72,170.08,171.09,169.62,-0.26%
2018년 03월 02일,170.16,170.32,171.16,169.72,-0.09%
2018년 03월 01일,170.31,171.38,171.74,170.01,-0.64%
2018년 02월 28일,171.41,171.29,171.44,170.75,0.12%
2018년 02월 27일,171.2,169.4,171.27,169.15,0.99%
2018년 02월 26일,169.52,169.95,170.36,169.37,-0.25%
2018년 02월 23일,169.94,170.24,170.57,169.74,-0.15%
2018년 02월 22일,170.19,169.47,171.1,169.43,0.41%
2018년 02월 21일,169.5,169.32,169.84,168.71,0.11%
2018년 02월 20일,169.32,168.15,169.5,168.13,0.70%
2018년 02월 19일,168.15,168.01,168.65,167.88,0.02%
2018년 02월 16일,168.11,167.61,168.45,167.27,0.29%
2018년 02월 15일,167.63,168.69,169.07,167.46,-0.63%
2018년 02월 14일,168.69,171.16,171.5,168.65,-1.42%
2018년 02월 13일,171.12,171.11,171.64,170.67,0.02%
2018년 02월 12일,171.09,172.31,172.56,171.06,-0.77%
2018년 02월 09일,172.41,173.34,173.47,172.12,-0.61%
2018년 02월 08일,173.47,173.91,174.01,171.57,-0.25%
2018년 02월 07일,173.9,172,174,171.93,1.16%
2018년 02월 06일,171.9,173.97,174.53,171.69,-1.24%
2018년 02월 05일,174.06,172.98,174.09,172.57,0.63%
2018년 02월 02일,172.97,170.05,173.1,169.94,1.75%
2018년 02월 01일,170,170.1,170.82,169.84,-0.09%
2018년 01월 31일,170.16,169.72,170.4,169.12,0.27%
2018년 01월 30일,169.71,168.98,170.09,168.79,0.43%
2018년 01월 29일,168.99,168.54,169.46,168.22,0.31%
2018년 01월 26일,168.46,168.53,168.9,167.82,-0.07%
2018년 01월 25일,168.58,167.12,168.76,166.95,0.83%
2018년 01월 24일,167.19,167.68,167.99,166.75,-0.29%
2018년 01월 23일,167.67,167.04,168.36,166.64,0.43%
2018년 01월 22일,166.96,166.63,167.39,166.45,0.14%
2018년 01월 19일,166.72,166.75,167.39,166.26,-0.02%
2018년 01월 18일,166.76,165.93,166.96,165.87,0.52%
2018년 01월 17일,165.89,165.14,166.47,164.86,0.41%
2018년 01월 16일,165.22,165.26,165.94,165.05,0.01%
2018년 01월 15일,165.2,163.59,165.67,163.44,0.69%
2018년 01월 12일,164.06,164.04,165.19,163.93,0.01%
2018년 01월 11일,164.04,164.37,164.88,163.55,-0.24%
2018년 01월 10일,164.43,164.15,164.54,163.81,0.16%
2018년 01월 09일,164.17,164.46,164.65,163.69,-0.16%
2018년 01월 08일,164.44,163.74,165.31,163.31,0.46%
2018년 01월 05일,163.68,163.51,164.14,163.26,0.06%
2018년 01월 04일,163.59,163.79,164.44,163.24,-0.09%
2018년 01월 03일,163.74,163.68,164.22,163.47,0.00%
2018년 01월 02일,163.74,163.97,164.5,163.2,-0.12%
2018년 01월 01일,163.93,164.04,164.1,163.78,-0.07%
2017년 12월 29일,164.04,163.79,164.44,163.38,0.14%
2017년 12월 28일,163.81,164,164.25,163.35,-0.11%
2017년 12월 27일,163.99,164.37,164.53,163.6,-0.26%
2017년 12월 26일,164.41,164.63,165.08,164.11,-0.13%
2017년 12월 25일,164.62,163.84,165.24,163.78,0.46%
2017년 12월 22일,163.86,164.12,164.63,163.61,-0.15%
2017년 12월 21일,164.1,164.26,164.99,163.76,-0.09%
2017년 12월 20일,164.25,164.31,164.72,163.91,-0.08%
2017년 12월 19일,164.38,164.14,164.7,163.82,0.14%
2017년 12월 18일,164.15,164.78,165.28,163.91,-0.37%
2017년 12월 15일,164.76,164.8,165.22,164.41,-0.02%
2017년 12월 14일,164.79,163.91,165.1,163.87,0.54%
2017년 12월 13일,163.9,165.04,165.41,163.78,-0.70%
2017년 12월 12일,165.06,164.5,165.22,164.34,0.33%
2017년 12월 11일,164.51,165.05,165.46,164.1,-0.33%
2017년 12월 08일,165.06,165.19,165.69,164.78,-0.09%
2017년 12월 07일,165.21,165.37,165.86,164.91,-0.10%
2017년 12월 06일,165.38,164.29,165.88,164.06,0.65%
2017년 12월 05일,164.31,164.12,164.65,163.71,0.13%
2017년 12월 04일,164.1,163.67,164.94,163.65,0.23%
2017년 12월 01일,163.73,164.55,164.93,163.54,-0.50%
2017년 11월 30일,164.56,163.81,165.28,163.59,0.51%
2017년 11월 29일,163.72,163.97,164.34,162.77,-0.20%
2017년 11월 28일,164.04,165.56,165.57,163.51,-0.88%
2017년 11월 27일,165.49,164.38,165.56,164.22,0.64%
2017년 11월 24일,164.43,164.6,165.19,164.08,-0.14%
2017년 11월 23일,164.66,164.38,165.62,164.37,0.22%
2017년 11월 22일,164.3,164.54,165.26,164.16,-0.17%
2017년 11월 21일,164.58,165.3,165.81,164.03,-0.46%
2017년 11월 20일,165.34,165.21,166.31,165.1,0.13%
2017년 11월 17일,165.13,165.44,165.91,164.96,-0.21%
2017년 11월 16일,165.47,166.94,167.31,165.03,-0.88%
2017년 11월 15일,166.94,168.15,168.5,166.5,-0.68%
2017년 11월 14일,168.09,168.62,168.88,167.81,-0.33%
2017년 11월 13일,168.65,168.59,169.06,168.49,-0.08%
2017년 11월 10일,168.78,168.51,168.88,168.12,0.21%
2017년 11월 09일,168.42,168.09,168.85,167.89,0.18%
2017년 11월 08일,168.12,167.79,168.38,167.69,0.21%
2017년 11월 07일,167.76,167.73,168.15,167.4,0.01%
2017년 11월 06일,167.75,168.08,168.71,167.47,-0.23%
2017년 11월 03일,168.14,168.34,168.66,167.97,-0.10%
2017년 11월 02일,168.31,168.37,169.12,167.93,-0.02%
2017년 11월 01일,168.34,168.54,168.8,167.91,-0.13%
2017년 10월 31일,168.56,169.22,169.32,168.21,-0.39%
2017년 10월 30일,169.22,169.31,169.66,169.09,-0.04%
2017년 10월 27일,169.28,169.88,170.47,169.18,-0.38%
2017년 10월 26일,169.93,169.85,170.03,169.09,0.03%
2017년 10월 25일,169.88,170.47,170.56,169.1,-0.32%
2017년 10월 24일,170.43,170.32,170.55,169.87,0.07%
2017년 10월 23일,170.31,171.01,171.54,170.03,-0.42%
2017년 10월 20일,171.03,170.66,171.57,170.57,0.21%
2017년 10월 19일,170.68,170.94,171.19,170.56,-0.15%
2017년 10월 18일,170.94,170.82,171.37,170.51,0.09%
2017년 10월 17일,170.79,171.22,171.8,170.52,-0.25%
2017년 10월 16일,171.22,171.29,171.74,170.88,-0.01%
2017년 10월 13일,171.24,171.92,172.32,170.96,-0.42%
2017년 10월 12일,171.96,171.89,172.54,171.61,0.03%
2017년 10월 11일,171.91,172.82,173.09,171.57,-0.49%
2017년 10월 10일,172.76,172.59,173,171.91,0.08%
2017년 10월 09일,172.63,172.22,172.88,172.03,0.28%
2017년 10월 06일,172.14,171.7,172.22,171.55,0.25%
2017년 10월 05일,171.71,171.79,171.96,170.94,-0.05%
2017년 10월 04일,171.79,171.83,171.93,171.09,-0.02%
2017년 10월 03일,171.83,172.33,172.82,171.5,-0.30%
2017년 10월 02일,172.34,172.12,172.62,172,0.12%
2017년 09월 29일,172.13,171.94,172.44,171.38,0.04%
