"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 12일","26.81","26.81","26.81","26.81","-","-1.69%"
"2020년 05월 11일","27.27","27.27","27.27","27.27","-","-4.45%"
"2020년 05월 08일","28.54","28.54","28.54","28.54","-","5.16%"
"2020년 05월 07일","27.14","27.14","27.14","27.14","-","-0.77%"
"2020년 05월 06일","27.35","27.35","27.35","27.35","-","-5.49%"
"2020년 05월 05일","28.94","28.94","28.94","28.94","-","10.46%"
"2020년 05월 04일","26.20","26.20","26.20","26.20","-","3.56%"
"2020년 05월 01일","25.30","25.30","25.30","25.30","-","24.08%"
"2020년 04월 30일","20.39","20.39","20.39","20.39","-","0.05%"
"2020년 04월 29일","20.38","20.38","20.38","20.38","-","-0.15%"
"2020년 04월 28일","20.41","20.41","20.41","20.41","-","0.20%"
"2020년 04월 27일","20.37","20.37","20.37","20.37","-","-0.39%"
"2020년 04월 24일","20.45","20.45","20.45","20.45","-","0.00%"
"2020년 04월 23일","20.45","20.45","20.45","20.45","-","2.25%"
"2020년 04월 22일","20.00","20.00","20.00","20.00","-","4.88%"
"2020년 04월 21일","19.07","19.07","19.07","19.07","-","-11.18%"
"2020년 04월 20일","21.47","21.47","21.47","21.47","-","-3.42%"
"2020년 04월 17일","22.23","22.23","22.23","22.23","-","2.40%"
"2020년 04월 16일","21.71","21.71","21.71","21.71","-","1.16%"
"2020년 04월 15일","21.46","21.46","21.46","21.46","-","-2.28%"
"2020년 04월 14일","21.96","21.96","21.96","21.96","-","-11.24%"
"2020년 04월 13일","24.74","24.74","24.74","24.74","-","6.36%"
"2020년 04월 09일","23.26","23.26","23.26","23.26","-","-11.09%"
"2020년 04월 08일","26.16","26.16","26.16","26.16","-","0.62%"
"2020년 04월 07일","26.00","26.00","26.00","26.00","-","-5.28%"
"2020년 04월 06일","27.45","27.45","27.45","27.45","-","-6.60%"
"2020년 04월 03일","29.39","29.39","29.39","29.39","-","12.35%"
"2020년 04월 02일","26.16","26.16","26.16","26.16","-","16.47%"
"2020년 04월 01일","22.46","22.46","22.46","22.46","-","-33.35%"
"2020년 03월 31일","33.70","33.70","33.70","33.70","-","-0.41%"
"2020년 03월 30일","33.84","33.84","33.84","33.84","-","-0.21%"
"2020년 03월 27일","33.91","33.91","33.91","33.91","-","-0.47%"
"2020년 03월 26일","34.07","34.07","34.07","34.07","-","-0.23%"
"2020년 03월 25일","34.15","34.15","34.15","34.15","-","0.47%"
"2020년 03월 24일","33.99","33.99","33.99","33.99","-","0.09%"
"2020년 03월 23일","33.96","33.96","33.96","33.96","-","-0.26%"
"2020년 03월 20일","34.05","34.05","34.05","34.05","-","-1.56%"
"2020년 03월 19일","34.59","34.59","34.59","34.59","-","2.92%"
"2020년 03월 18일","33.61","33.61","33.61","33.61","-","-4.71%"
"2020년 03월 17일","35.27","35.27","35.27","35.27","-","-0.51%"
"2020년 03월 16일","35.45","35.45","35.45","35.45","-","-4.09%"
"2020년 03월 13일","36.96","36.96","36.96","36.96","-","1.79%"
"2020년 03월 12일","36.31","36.31","36.31","36.31","-","-3.48%"
"2020년 03월 11일","37.62","37.62","37.62","37.62","-","-1.36%"
"2020년 03월 10일","38.14","38.14","38.14","38.14","-","5.18%"
"2020년 03월 09일","36.26","36.26","36.26","36.26","-","-20.67%"
"2020년 03월 06일","45.71","45.71","45.71","45.71","-","-8.07%"
"2020년 03월 05일","49.72","49.72","49.72","49.72","-","-1.51%"
"2020년 03월 04일","50.48","50.48","50.48","50.48","-","-0.88%"
"2020년 03월 03일","50.93","50.93","50.93","50.93","-","-0.04%"
"2020년 03월 02일","50.95","50.95","50.95","50.95","-","-6.03%"
"2020년 02월 28일","54.22","54.22","54.22","54.22","-","-0.06%"
"2020년 02월 27일","54.25","54.25","54.25","54.25","-","-0.15%"
"2020년 02월 26일","54.33","54.33","54.33","54.33","-","-0.39%"
"2020년 02월 25일","54.54","54.54","54.54","54.54","-","-0.26%"
"2020년 02월 24일","54.68","54.68","54.68","54.68","-","-1.07%"
"2020년 02월 21일","55.27","55.27","55.27","55.27","-","-0.49%"
