"날짜","종가","오픈","고가","저가","변동 %"
"2018년 09월 28일","136.26","136.62","136.68","135.44","-0.28%"
"2018년 09월 27일","136.64","137.65","137.96","136.50","-0.65%"
"2018년 09월 26일","137.53","137.43","137.74","136.97","0.00%"
"2018년 09월 25일","137.53","137.57","138.06","137.29","-0.04%"
"2018년 09월 24일","137.58","136.81","137.87","136.71","0.54%"
"2018년 09월 21일","136.84","137.13","137.47","136.51","-0.23%"
"2018년 09월 20일","137.15","137.27","138.14","136.38","-0.09%"
"2018년 09월 19일","137.27","137.62","138.08","136.95","-0.25%"
"2018년 09월 18일","137.61","137.81","138.26","137.47","-0.15%"
"2018년 09월 17일","137.81","135.90","138.02","135.75","1.43%"
"2018년 09월 14일","135.87","136.38","136.62","135.52","-0.30%"
"2018년 09월 13일","136.28","135.55","136.69","135.49","0.48%"
"2018년 09월 12일","135.63","135.10","136.88","134.99","0.39%"
"2018년 09월 11일","135.10","134.65","135.69","134.11","0.31%"
"2018년 09월 10일","134.68","133.54","135.16","133.46","0.86%"
"2018년 09월 07일","133.53","133.32","133.85","133.01","0.23%"
"2018년 09월 06일","133.23","133.28","133.81","132.94","-0.12%"
"2018년 09월 05일","133.39","133.31","133.99","133.05","0.11%"
"2018년 09월 04일","133.25","133.09","133.59","132.47","0.11%"
"2018년 09월 03일","133.11","133.19","133.40","132.25","0.06%"
"2018년 08월 31일","133.03","133.58","134.19","132.92","-0.41%"
"2018년 08월 30일","133.58","133.31","133.79","132.67","0.20%"
"2018년 08월 29일","133.31","132.86","133.50","132.56","0.35%"
"2018년 08월 28일","132.85","133.20","133.58","132.46","-0.29%"
"2018년 08월 27일","133.24","133.99","134.11","133.06","-0.43%"
"2018년 08월 24일","133.81","133.96","134.37","133.07","-0.20%"
"2018년 08월 23일","134.08","133.99","134.90","133.78","0.06%"
"2018년 08월 22일","134.00","132.96","134.34","132.81","0.86%"
"2018년 08월 21일","132.86","132.28","133.10","132.25","0.36%"
"2018년 08월 20일","132.39","132.57","133.13","132.20","-0.04%"
"2018년 08월 17일","132.44","132.89","133.05","132.17","-0.41%"
"2018년 08월 16일","132.98","134.11","134.56","132.60","-0.86%"
"2018년 08월 15일","134.13","134.07","134.83","133.91","0.06%"
"2018년 08월 14일","134.05","135.95","135.98","134.00","-1.40%"
"2018년 08월 13일","135.95","135.17","136.14","134.69","0.61%"
"2018년 08월 10일","135.12","135.09","135.91","134.77","0.04%"
"2018년 08월 09일","135.07","136.05","136.36","134.93","-0.65%"
"2018년 08월 08일","135.96","136.18","136.84","135.73","-0.24%"
"2018년 08월 07일","136.29","136.56","137.01","136.09","-0.19%"
"2018년 08월 06일","136.55","136.08","136.97","135.98","0.36%"
"2018년 08월 03일","136.06","136.88","137.36","135.94","-0.60%"
"2018년 08월 02일","136.88","136.91","137.72","136.74","-0.03%"
"2018년 08월 01일","136.92","136.48","137.58","136.37","0.32%"
"2018년 07월 31일","136.48","137.50","138.08","136.27","-0.68%"
"2018년 07월 30일","137.41","136.17","137.45","135.93","0.83%"
"2018년 07월 27일","136.28","137.33","137.55","136.05","-0.74%"
"2018년 07월 26일","137.29","137.38","138.06","137.04","-0.08%"
"2018년 07월 25일","137.40","137.83","138.31","137.00","-0.33%"
"2018년 07월 24일","137.85","138.42","138.87","137.65","-0.40%"
"2018년 07월 23일","138.40","137.92","139.36","137.82","0.37%"
"2018년 07월 20일","137.89","137.90","138.33","137.49","-0.01%"
"2018년 07월 19일","137.91","138.47","138.76","137.75","-0.39%"
"2018년 07월 18일","138.45","138.22","138.94","138.04","0.16%"
"2018년 07월 17일","138.23","139.31","139.46","138.17","-0.77%"
"2018년 07월 16일","139.30","139.25","139.55","138.93","0.03%"
"2018년 07월 13일","139.26","138.72","139.36","138.33","0.40%"
"2018년 07월 12일","138.71","139.14","139.56","138.54","-0.29%"
