날짜,종가,오픈,고가,저가,변동 %
2017년 10월 16일,1.8221,1.8079,1.8267,1.806,0.81%
2017년 10월 13일,1.8075,1.8142,1.8173,1.8034,-0.37%
2017년 10월 12일,1.8142,1.8076,1.8159,1.8059,0.37%
2017년 10월 11일,1.8076,1.8038,1.8115,1.7987,0.23%
2017년 10월 10일,1.8034,1.8061,1.8074,1.7876,-0.13%
2017년 10월 09일,1.8058,1.8081,1.8091,1.8031,-0.16%
2017년 10월 06일,1.8087,1.8187,1.8214,1.8018,-0.48%
2017년 10월 05일,1.8175,1.8082,1.8213,1.7973,0.44%
2017년 10월 04일,1.8095,1.806,1.8145,1.7983,0.21%
2017년 10월 03일,1.8057,1.7957,1.8083,1.7872,0.58%
2017년 10월 02일,1.7952,1.7885,1.7994,1.7843,0.32%
2017년 09월 29일,1.7894,1.8043,1.8062,1.7865,-0.77%
2017년 09월 28일,1.8032,1.7942,1.8041,1.7896,0.45%
2017년 09월 27일,1.7952,1.7905,1.8027,1.7868,0.22%
2017년 09월 26일,1.7912,1.8034,1.8105,1.7896,-0.66%
2017년 09월 25일,1.8031,1.8115,1.8129,1.7988,-0.46%
2017년 09월 22일,1.8115,1.8134,1.8265,1.8084,-0.10%
2017년 09월 21일,1.8134,1.8196,1.8273,1.8112,-0.33%
2017년 09월 20일,1.8194,1.8094,1.8233,1.8011,0.60%
2017년 09월 19일,1.8086,1.8058,1.8105,1.8013,0.07%
2017년 09월 18일,1.8073,1.8147,1.8175,1.801,-0.36%
2017년 09월 15일,1.8139,1.8178,1.8227,1.8054,-0.19%
2017년 09월 14일,1.8173,1.807,1.8219,1.7992,0.56%
2017년 09월 13일,1.8072,1.8135,1.8181,1.7995,-0.34%
2017년 09월 12일,1.8133,1.8151,1.8175,1.802,-0.08%
2017년 09월 11일,1.8148,1.825,1.8354,1.8141,-0.58%
2017년 09월 08일,1.8254,1.8363,1.8463,1.8229,-0.62%
2017년 09월 07일,1.8367,1.8326,1.8414,1.8246,0.25%
2017년 09월 06일,1.8322,1.8163,1.8358,1.8146,0.86%
2017년 09월 05일,1.8166,1.8145,1.8244,1.8071,0.11%
2017년 09월 04일,1.8146,1.7932,1.8164,1.7895,1.19%
2017년 09월 01일,1.7933,1.7998,1.8051,1.7899,-0.33%
2017년 08월 31일,1.7992,1.78,1.7997,1.7757,1.08%
2017년 08월 30일,1.78,1.7975,1.7997,1.7769,-0.95%
2017년 08월 29일,1.7971,1.7807,1.8039,1.7807,0.96%
2017년 08월 28일,1.7801,1.767,1.783,1.763,0.72%
2017년 08월 25일,1.7673,1.7677,1.7744,1.7617,-0.03%
2017년 08월 24일,1.7678,1.7595,1.7709,1.7583,0.44%
2017년 08월 23일,1.76,1.7678,1.7709,1.7598,-0.41%
2017년 08월 22일,1.7673,1.771,1.7725,1.7631,-0.23%
2017년 08월 21일,1.7713,1.764,1.7779,1.7595,0.46%
2017년 08월 18일,1.7632,1.7657,1.7705,1.7609,-0.19%
2017년 08월 17일,1.7666,1.7604,1.7707,1.7586,0.35%
2017년 08월 16일,1.7604,1.751,1.7686,1.749,0.54%
2017년 08월 15일,1.751,1.7563,1.7594,1.7469,-0.30%
