year,week,rain,wind,temperature,CTRY_1
2018,18,8.988421052631578,1.6421052631578947,27.58842105263159,베트남
2018,19,12.600000000000001,1.8852459016393444,27.56557377049181,베트남
2018,20,3.608108108108108,1.8108108108108107,28.502702702702706,베트남
2018,21,8.786666666666665,1.6,28.20888888888889,베트남
2018,22,11.545714285714283,1.8571428571428572,27.80576923076923,베트남
2018,23,8.23076923076923,2.5673076923076925,28.536538461538463,베트남
2018,24,12.003061224489793,2.4591836734693877,28.43877551020407,베트남
2018,25,9.085714285714284,3.3142857142857145,28.001428571428573,베트남
2018,26,4.775,2.25,27.53589743589744,베트남
2018,27,12.961250000000001,3.4625,27.63625,베트남
2018,28,14.974657534246576,2.815068493150685,27.45273972602739,베트남
2018,29,20.731446540880498,2.647798742138365,27.766037735849075,베트남
2018,30,5.408999999999999,2.33,27.819000000000003,베트남
2018,31,7.807563025210083,2.369747899159664,27.525210084033613,베트남
2018,32,7.556153846153846,2.9461538461538463,27.55,베트남
2018,33,11.102499999999994,2.55,27.564999999999998,베트남
2018,34,4.832,2.013333333333333,28.17066666666666,베트남
2018,35,7.874698795180724,1.855421686746988,27.343373493975903,베트남
2018,36,15.632941176470588,2.4235294117647057,26.815294117647056,베트남
2018,37,12.495999999999999,2.62,27.484999999999992,베트남
2018,38,13.825203252032514,1.951219512195122,27.1829268292683,베트남
2018,39,7.328571428571431,1.6825396825396826,27.034920634920628,베트남
2018,41,3.675862068965514,1.3793103448275863,26.208620689655174,베트남
2018,42,15.16132075471698,1.3867924528301887,25.352830188679228,베트남
2018,43,10.267213114754101,1.959016393442623,26.71147540983607,베트남
2018,45,11.996808510638296,1.8617021276595744,25.584042553191484,베트남
2018,46,19.23378378378378,1.7432432432432432,25.644594594594594,베트남
2018,47,13.147311827956987,2.924731182795699,24.891397849462383,베트남
2018,48,10.17605633802817,1.5633802816901408,25.190140845070413,베트남
2018,49,14.8170731707317,2.2195121951219514,23.839024390243893,베트남
2018,50,4.211688311688311,2.857142857142857,21.190909090909084,베트남
2018,51,3.0349999999999997,2.325,25.4,베트남
2018,52,6.972340425531915,1.702127659574468,25.546808510638293,베트남
2018,40,19.53,1.6375,26.753750000000004,베트남
2018,44,5.425,1.75,27.675,베트남
2017,52,0.9429687499999997,2.0703125,7.409375000000002,중국
2018,1,2.07577981651376,2.528440366972477,3.299816513761467,중국
2018,2,2.2292817679558015,3.3812154696132595,-0.33038674033148924,중국
2018,3,0.9789156626506024,2.1506024096385543,3.0006024096385526,중국
