"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 07월 31일","63.25","63.25","63.25","63.25","-","0.03%"
"2019년 07월 30일","63.23","63.23","63.23","63.23","-","0.11%"
"2019년 07월 29일","63.16","63.16","63.16","63.16","-","-0.02%"
"2019년 07월 26일","63.17","63.17","63.17","63.17","-","0.05%"
"2019년 07월 25일","63.14","63.14","63.14","63.14","-","0.19%"
"2019년 07월 24일","63.02","63.02","63.02","63.02","-","-0.08%"
"2019년 07월 23일","63.07","63.07","63.07","63.07","-","0.19%"
"2019년 07월 22일","62.95","62.95","62.95","62.95","-","0.58%"
"2019년 07월 19일","62.59","62.59","62.59","62.59","-","0.45%"
"2019년 07월 18일","62.31","62.31","62.31","62.31","-","-0.86%"
"2019년 07월 17일","62.85","62.85","62.85","62.85","-","-0.54%"
"2019년 07월 16일","63.19","63.19","63.19","63.19","-","-1.74%"
"2019년 07월 15일","64.31","64.31","64.31","64.31","-","-0.20%"
"2019년 07월 12일","64.44","64.44","64.44","64.44","-","0.31%"
"2019년 07월 11일","64.24","64.24","64.24","64.24","-","-0.59%"
"2019년 07월 10일","64.62","64.62","64.62","64.62","-","2.95%"
"2019년 07월 09일","62.77","62.77","62.77","62.77","-","0.26%"
"2019년 07월 08일","62.61","62.61","62.61","62.61","-","0.13%"
"2019년 07월 05일","62.53","62.53","62.53","62.53","-","0.45%"
"2019년 07월 03일","62.25","62.25","62.25","62.25","-","2.02%"
"2019년 07월 02일","61.02","61.02","61.02","61.02","-","-3.43%"
"2019년 07월 01일","63.19","63.19","63.19","63.19","-","2.37%"
"2019년 06월 27일","61.73","61.73","61.73","61.73","-","-0.06%"
"2019년 06월 26일","61.77","61.77","61.77","61.77","-","0.23%"
"2019년 06월 25일","61.63","61.63","61.63","61.63","-","-0.02%"
"2019년 06월 24일","61.64","61.64","61.64","61.64","-","-0.28%"
"2019년 06월 21일","61.81","61.81","61.81","61.81","-","0.36%"
"2019년 06월 20일","61.59","61.59","61.59","61.59","-","1.55%"
"2019년 06월 19일","60.65","60.65","60.65","60.65","-","0.02%"
"2019년 06월 18일","60.64","60.64","60.64","60.64","-","1.17%"
"2019년 06월 17일","59.94","59.94","59.94","59.94","-","-1.04%"
"2019년 06월 14일","60.57","60.57","60.57","60.57","-","0.65%"
"2019년 06월 13일","60.18","60.18","60.18","60.18","-","1.36%"
"2019년 06월 12일","59.37","59.37","59.37","59.37","-","-2.58%"
"2019년 06월 11일","60.94","60.94","60.94","60.94","-","0.58%"
"2019년 06월 10일","60.59","60.59","60.59","60.59","-","-1.09%"
"2019년 06월 07일","61.26","61.26","61.26","61.26","-","2.36%"
"2019년 06월 06일","59.85","59.85","59.85","59.85","-","0.47%"
"2019년 06월 05일","59.57","59.57","59.57","59.57","-","-2.07%"
"2019년 06월 04일","60.83","60.83","60.83","60.83","-","0.71%"
"2019년 06월 03일","60.40","60.40","60.40","60.40","-","-12.94%"
"2019년 05월 31일","69.38","69.38","69.38","69.38","-","0.06%"
"2019년 05월 30일","69.34","69.34","69.34","69.34","-","-0.24%"
"2019년 05월 29일","69.51","69.51","69.51","69.51","-","-0.22%"
"2019년 05월 28일","69.66","69.66","69.66","69.66","-","0.33%"
"2019년 05월 24일","69.43","69.43","69.43","69.43","-","0.09%"
"2019년 05월 23일","69.37","69.37","69.37","69.37","-","-1.60%"
"2019년 05월 22일","70.50","70.50","70.50","70.50","-","-0.69%"
"2019년 05월 21일","70.99","70.99","70.99","70.99","-","0.11%"
"2019년 05월 20일","70.91","70.91","70.91","70.91","-","-0.14%"
"2019년 05월 17일","71.01","71.01","71.01","71.01","-","-0.20%"
"2019년 05월 16일","71.15","71.15","71.15","71.15","-","0.72%"
"2019년 05월 15일","70.64","70.64","70.64","70.64","-","0.34%"
"2019년 05월 14일","70.40","70.40","70.40","70.40","-","1.09%"
"2019년 05월 13일","69.64","69.64","69.64","69.64","-","-0.37%"
"2019년 05월 10일","69.90","69.90","69.90","69.90","-","0.30%"
"2019년 05월 09일","69.69","69.69","69.69","69.69","-","0.14%"
"2019년 05월 08일","69.59","69.59","69.59","69.59","-","0.26%"
"2019년 05월 07일","69.41","69.41","69.41","69.41","-","-1.63%"
"2019년 05월 06일","70.56","70.56","70.56","70.56","-","-0.11%"
"2019년 05월 03일","70.64","70.64","70.64","70.64","-","0.04%"
"2019년 05월 02일","70.61","70.61","70.61","70.61","-","-1.45%"
"2019년 05월 01일","71.65","71.65","71.65","71.65","-","0.99%"
